ZIP code,City,Price
33114,Coral Gables,190
33124,Coral Gables,190
33133,Coral Gables,190
33134,Coral Gables,190
33143,Coral Gables,190
33144,Coral Gables,190
33145,Coral Gables,190
33146,Coral Gables,190
33156,Coral Gables,190
33158,Coral Gables,190
33234,Coral Gables,190
33065,Coral Springs,265
33067,Coral Springs,265
33071,Coral Springs,245
33073,Coral Springs,270
33075,Coral Springs,270
33076,Coral Springs,245
33077,Coral Springs,280
34215,Cortez,855
32920,Cpe Canaveral,790
32326,Crawfordville,1885
32327,Crawfordville,1885
32112,Crescent City,1050
32628,Cross City,1280
32640,Cross Creek,1090
34681,Crystal Beach,885
34423,Crystal River,1030
34428,Crystal River,1030
34429,Crystal River,1030
33524,Crystal Springs,855
33042,Cudjoe Key,660
33157,Cutler Bay,200
33189,Cutler Bay,200
33190,Cutler Bay,200
33157,Cutler Ridge,200
33170,Cutler Ridge,200
33189,Cutler Ridge,200
33190,Cutler Ridge,200
33884,Cypress Gardens,790
33523,Dade City,895
33525,Dade City,895
33526,Dade City,895
33004,Dania,200
33004,Dania Beach,200
33312,Dania Beach,200
33314,Dania Beach,200
33836,Davenport,790
33837,Davenport,790
33896,Davenport,790
33897,Davenport,790
33024,Davie,200
33312,Davie,200
33314,Davie,200
33317,Davie,200
33324,Davie,200
33325,Davie,200
33326,Davie,200
33328,Davie,200
33329,Davie,200
33330,Davie,200
33331,Davie,200
33332,Davie,200
33355,Davie,200
32013,Day,1385
32114,Daytona Beach,890
32115,Daytona Beach,890
32116,Daytona Beach,890
32117,Daytona Beach,890
32118,Daytona Beach,890
32119,Daytona Beach,890
32120,Daytona Beach,890
32121,Daytona Beach,890
32122,Daytona Beach,890
32123,Daytona Beach,890
32124,Daytona Beach,890
32125,Daytona Beach,890
32126,Daytona Beach,890
32198,Daytona Beach,890
32116,Daytona Beach Shores,890
32118,Daytona Beach Shores,890
32130,De Leon Springs,915
32713,Debary,840
32753,Debary,840
32778,Deer Island,905
33441,Deerfield Bch,270
33442,Deerfield Bch,270
33443,Deerfield Bch,270
33064,Deerfield Beach,270
33069,Deerfield Beach,270
33073,Deerfield Beach,270
33441,Deerfield Beach,270
33442,Deerfield Beach,270
33443,Deerfield Beach,270
32720,Deland,910
32721,Deland,910
32722,Deland,910
32723,Deland,910
32724,Deland,890
33444,Delray Beach,285
33445,Delray Beach,285
33446,Delray Beach,285
33448,Delray Beach,285
33482,Delray Beach,285
33483,Delray Beach,285
33484,Delray Beach,285
32725,Deltona,865
32728,Deltona,865
32738,Deltona,865
32739,Deltona,865
32219,Dinsmore,1340
32030,Doctors Inlet,1300
32784,Dona Vista,905
33122,Doral,190
33126,Doral,190
33166,Doral,190
33172,Doral,190
33178,Doral,190
33182,Doral,190
33527,Dover,820
32060,Dowling Park,1340
32064,Dowling Park,1380
33050,Duck Key,565
34219,Duette,765
33838,Dundee,765
34697,Dunedin,890
34698,Dunedin,890
34430,Dunnellon,1030
34431,Dunnellon,1030
34432,Dunnellon,1030
34433,Dunnellon,1030
34434,Dunnellon,1030
33530,Durant,805
33839,Eagle Lake,775
32631,Earleton,1135
32131,East Palatka,1080
33040,East Rockland Key,650
33040,East Rockland Ky,650
32133,Eastlake Weir,940
32328,Eastpoint,1875
33840,Eaton Park,800
32751,Eatonville,790
32934,Eau Gallie,690
32936,Eau Gallie,690
32132,Edgewater,840
32141,Edgewater,840
32809,Edgewood,790
32839,Edgewood,790
33927,El Jobean,670
33138,El Portal,190
33150,El Portal,190
34680,Elfers,885
32033,Elkton,1090
34222,Ellenton,840
33880,Eloise,790
34223,Englewood,715
34224,Englewood,715
